system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,NDVI,class,.geo
1_1_1_98_0,0.02,0.01575,0.0546,0.07045,0.05145,0.06035,0.0402,0.03965,0.035,-0.19028339,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.0663139141291,33.17581650511067]}"
1_1_1_99_0,0.0181,0.0143,0.04745,0.0621,0.0434,0.0498,0.0321,0.033,0.03045,-0.17535546,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.06838003928257,33.168809645894534]}"
1_1_2_0_0,0.2271,0.1948,0.1322,0.1598,0.1664,0.18125,0.2191,0.2272,0.2254,0.15058704,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.23573617671404,33.041518370134796]}"
1_1_2_1_0,0.2177,0.2068,0.121,0.1294,0.1384,0.1469,0.1623,0.1775,0.1882,0.15248008,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53990573191692,32.972348093257594]}"
1_1_2_2_0,0.4075,0.3728,0.2024,0.246,0.2932,0.3278,0.3334,0.3388,0.3423,0.07726202,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.61626253106708,32.985014338763676]}"
1_1_2_3_0,0.2544,0.2583,0.1608,0.1896,0.1612,0.1499,0.1587,0.1626,0.1826,0.062245503,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.1377299792166,32.6777905115948]}"
1_1_2_4_0,0.1373,0.1204,0.1287,0.1508,0.1569,0.14315,0.1436,0.15215,0.1824,0.07515473,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.12470440759687,32.67806000618004]}"
1_1_2_5_0,0.2237,0.2233,0.1114,0.1178,0.1228,0.1448,0.166,0.1755,0.1732,0.17027026,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.06972751220876,32.6785091638221]}"
1_1_2_6_0,0.171,0.1465,0.109,0.1162,0.1258,0.1301,0.1371,0.142,0.1388,0.049130753,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.86527095354316,33.06092198027178]}"
1_1_2_7_0,0.1701,0.1631,0.1278,0.1448,0.1512,0.1599,0.1656,0.1739,0.1804,0.08805791,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.8438910497811,33.05023202839076]}"
1_1_2_8_0,0.1833,0.1492,0.0874,0.1206,0.1014,0.1181,0.1208,0.134,0.157,0.21517028,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.81514496068928,33.05139983826011]}"
1_1_2_9_0,0.20515,0.1842,0.1205,0.135,0.1468,0.15915,0.1622,0.16855,0.1673,0.06526586,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.86176752393509,33.061281306385425]}"
1_1_2_10_0,0.2182,0.1401,0.0507,0.0788,0.0713,0.1249,0.2589,0.3039,0.2863,0.60123044,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87398461179912,33.06747968184585]}"
1_1_2_11_0,0.20605,0.1797,0.1306,0.1533,0.1673,0.18015,0.18385,0.19855,0.18925,0.06156221,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.84173966738108,32.686773664436]}"
1_1_2_12_0,0.21675,0.1986,0.1415,0.158,0.1773,0.1912,0.19275,0.20105,0.2022,0.06561262,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.8577296794384,32.681743098844926]}"
1_1_2_13_0,0.32165,0.3112,0.1898,0.2225,0.2538,0.2926,0.29625,0.3072,0.3027,0.087870635,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.83949387917077,32.68506686539617]}"
1_1_2_14_0,0.18835,0.1659,0.08965,0.1138,0.1186,0.1298,0.1484,0.1624,0.1583,0.14337304,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.8291632534034,32.68812113736218]}"
1_1_2_15_0,0.2069,0.18215,0.1139,0.1289,0.1417,0.1727,0.19515,0.20225,0.20635,0.18574917,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.82494117156804,32.683449897884756]}"
1_1_2_16_0,0.2308,0.1836,0.1396,0.1558,0.1676,0.1716,0.2351,0.2578,0.2365,0.17050232,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.37973611675841,32.522292135913716]}"
1_1_2_17_0,0.3445,0.3428,0.3565,0.3752,0.3824,0.35395,0.3616,0.35655,0.3869,0.0058494755,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.3729987521275,32.52381927189672]}"
1_1_2_18_0,0.3354,0.3693,0.3016,0.304,0.3168,0.3994,0.3809,0.3809,0.3228,0.009380882,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.37910729605952,32.522920956612595]}"
1_1_2_19_0,0.2382,0.2297,0.1834,0.1232,0.1202,0.1314,0.1561,0.1915,0.2123,0.27699247,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.36868683876374,32.51968702158977]}"
1_1_2_20_0,0.2479,0.2387,0.2061,0.1797,0.1733,0.1626,0.1837,0.21205,0.23835,0.15802261,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.36500374609885,32.52328028272625]}"
1_1_2_21_0,0.2741,0.2634,0.1472,0.1754,0.1902,0.2001,0.2114,0.2216,0.2362,0.10787993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.38764129125866,32.52166331521483]}"
1_1_2_22_0,0.2545,0.2384,0.1748,0.1904,0.2254,0.2322,0.2394,0.2455,0.2631,0.07717502,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.40201891008643,32.37047685289752]}"
1_1_2_23_0,0.2006,0.1871,0.0902,0.0909,0.1021,0.1356,0.1348,0.1458,0.1555,0.20729811,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.40327655148418,32.377304049056825]}"
1_1_2_24_0,0.2393,0.2313,0.1606,0.1764,0.1748,0.156,0.1679,0.2044,0.2178,0.10952627,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.39105946362017,32.369668369141806]}"
1_1_2_25_0,0.2254,0.1701,0.1238,0.0989,0.1061,0.10635,0.1084,0.1612,0.1809,0.26062715,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.17519430084624,32.57071132972776]}"
1_1_2_26_0,0.22315,0.19965,0.1133,0.1172,0.1308,0.16705,0.1912,0.20405,0.1761,0.1476051,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.16423485437998,32.5762808844893]}"
1_1_2_27_0,0.1857,0.17655,0.1312,0.1435,0.1563,0.176,0.16935,0.1748,0.1559,-0.0012812039,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.15857546809004,32.56864520457428]}"
1_1_2_28_0,0.2355,0.2127,0.1224,0.1488,0.1552,0.181,0.1983,0.2106,0.1948,0.113142855,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.02328918630162,32.56648924789239]}"
1_1_2_29_0,0.2297,0.1997,0.09165,0.1157,0.119,0.17285,0.2257,0.23485,0.224,0.30612245,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.03191301302918,32.57322661252329]}"
1_1_2_30_0,0.2534,0.2374,0.1673,0.1951,0.2328,0.21795,0.2269,0.22855,0.26665,0.06777452,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.0388300407169,32.57295711793805]}"
1_1_2_31_0,0.25735,0.23715,0.1494,0.1749,0.1984,0.2156,0.2313,0.2377,0.2539,0.12270614,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.02517564839827,32.5778080204723]}"
1_1_2_32_0,0.2696,0.25295,0.1592,0.1678,0.182,0.19365,0.20595,0.2231,0.26295,0.18193057,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.01987558822198,32.57196897112552]}"
1_1_2_33_0,0.3182,0.29505,0.2015,0.24,0.2573,0.2923,0.3035,0.3045,0.31565,0.101841345,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.05086746552409,32.63664767158213]}"
1_1_2_34_0,0.27815,0.26375,0.1391,0.1567,0.167,0.17735,0.1951,0.21185,0.23205,0.16301218,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.04781319355808,32.63682733463895]}"
1_1_2_35_0,0.51165,0.5334,0.2191,0.10325,0.10275,0.16345,0.17385,0.21365,0.2993,0.48886952,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.05041830788204,32.634222220315]}"
1_1_2_36_0,0.2526,0.2248,0.1538,0.187,0.1946,0.2073,0.2258,0.2442,0.2354,0.09488373,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.04700470980238,32.634042557258184]}"
1_1_2_37_0,0.3012,0.2821,0.1635,0.1972,0.224,0.24825,0.29135,0.28915,0.3216,0.1788856,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.05895230308117,32.649763074730274]}"
1_1_2_38_0,0.2326,0.2215,0.1122,0.1197,0.1236,0.1384,0.14415,0.16795,0.1789,0.18280993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.08329207299896,32.67123281002073]}"
1_1_2_39_0,0.20655,0.19575,0.104,0.11,0.1158,0.13395,0.14945,0.1631,0.1591,0.1575118,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.07853100199313,32.69162456697024]}"
1_1_2_40_0,0.19405,0.185,0.1292,0.1191,0.1268,0.1362,0.14585,0.15155,0.1834,0.18246293,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.10152787326659,32.68821096889059]}"
1_1_2_41_0,0.2361,0.212,0.1276,0.1535,0.1913,0.2036,0.20015,0.21505,0.225,0.080951214,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.0805971271466,32.68138377273128]}"
1_1_2_42_0,0.4869,0.2824,0.453,0.5066,0.5554,0.5915,0.58575,0.59435,0.6022,0.040428437,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.05948671796979,32.6890194526463]}"
1_1_2_43_0,0.3618,0.2459,0.3525,0.3903,0.4332,0.37135,0.3895,0.39125,0.4642,0.034544226,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.04807811386148,32.69908058382843]}"
1_1_2_44_0,0.32385,0.30905,0.1641,0.1867,0.2056,0.229,0.24475,0.26135,0.2675,0.13083918,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.91575627251068,32.65236818905422]}"
1_1_2_45_0,0.25,0.2365,0.1142,0.1318,0.1466,0.1673,0.2009,0.2144,0.234,0.22963743,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.92150549032904,32.705817948459334]}"
1_1_2_46_0,0.23315,0.21435,0.1378,0.1515,0.1631,0.1913,0.2053,0.21205,0.2013,0.10482983,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.94953292719356,32.74300820122188]}"
1_1_2_47_0,0.267,0.2428,0.1415,0.163,0.1859,0.1994,0.2198,0.23335,0.2272,0.09997579,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88233894394142,32.74956590279595]}"
1_1_2_48_0,0.27155,0.26065,0.1476,0.1664,0.1884,0.2158,0.22975,0.2422,0.2394,0.11921459,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87667955765147,32.750643881136895]}"
1_1_2_49_0,0.2608,0.2398,0.1196,0.1332,0.1456,0.1682,0.1942,0.2152,0.2198,0.2030651,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.78469207255763,32.70168569815238]}"
1_1_2_50_0,0.21465,0.17685,0.0922,0.1084,0.117,0.1456,0.1869,0.2081,0.20735,0.27855712,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.74956794494855,32.7093213780674]}"
1_1_2_51_0,0.35605,0.3428,0.1877,0.1163,0.1128,0.13955,0.15555,0.1948,0.2389,0.35854423,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.76861222897189,32.7289046512612]}"
1_1_2_52_0,0.218,0.1379,0.076,0.0996,0.0893,0.1344,0.2562,0.3177,0.3288,0.5728295,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.74723232520985,32.73950477161382]}"
1_1_2_53_0,0.2216,0.1529,0.0706,0.0962,0.113,0.1309,0.2332,0.316,0.3144,0.47122133,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.76510879936383,32.753248995460844]}"
1_1_2_54_0,0.3475,0.3636,0.2568,0.2014,0.181,0.1815,0.1857,0.2377,0.2742,0.20474517,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.74597468381208,32.7664542301374]}"
1_1_2_55_0,0.23005,0.1979,0.09555,0.1133,0.1215,0.1659,0.20295,0.21965,0.2232,0.29503915,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.761874864341,32.776425529791126]}"
1_1_2_56_0,0.26975,0.25715,0.1699,0.2019,0.2289,0.22785,0.2479,0.25545,0.29005,0.117834084,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.75190356468727,32.77606620367748]}"
1_1_2_57_0,0.38055,0.3822,0.2389,0.2809,0.3144,0.32235,0.33695,0.343,0.3559,0.06191258,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88647119424837,32.96839550600747]}"
1_1_2_58_0,0.3642,0.3502,0.2132,0.2802,0.3216,0.3235,0.3343,0.3436,0.379,0.0819298,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87102017136152,32.97252775631442]}"
1_1_2_59_0,0.4019,0.4115,0.2486,0.288,0.3177,0.34355,0.351,0.35295,0.3572,0.058527187,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88395591145284,32.97773798496231]}"
1_1_2_60_0,0.4012,0.3983,0.2636,0.3062,0.3406,0.3652,0.3623,0.3674,0.3718,0.043795608,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88539321590743,32.97243792478601]}"
1_1_2_61_0,0.41365,0.4303,0.2387,0.2885,0.3183,0.3532,0.3648,0.37755,0.3588,0.05981389,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88099147101525,32.98842793684334]}"
1_1_2_62_0,0.4325,0.4464,0.2598,0.3064,0.341,0.3621,0.3697,0.3732,0.3804,0.05461604,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87964399808907,32.98672113780351]}"
1_1_2_63_0,0.36735,0.34325,0.2445,0.2911,0.3374,0.3254,0.3422,0.35495,0.3934,0.07662839,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.8694032038501,32.986451643218274]}"
1_1_2_64_0,0.456,0.40965,0.273,0.3783,0.4008,0.43435,0.4209,0.4098,0.3924,-0.010590007,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.89195091748151,33.04430314751557]}"
1_1_2_65_0,0.4013,0.3097,0.3162,0.363,0.4012,0.4089,0.4213,0.4388,0.428,0.032320317,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.89069327608374,33.04852522935093]}"
1_1_2_66_0,0.4627,0.46755,0.3226,0.3831,0.4122,0.41495,0.4059,0.3959,0.4067,-0.0067163496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88736950953249,33.06029315957289]}"
1_1_2_67_0,0.4756,0.5219,0.4051,0.458,0.4854,0.51895,0.4972,0.48575,0.4864,0.0010290358,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88260843852666,33.059394844288775]}"
1_1_2_68_0,0.1653,0.134,0.0884,0.1064,0.0991,0.1272,0.1731,0.1714,0.2128,0.3645399,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.88090163948684,33.05867619206148]}"
1_1_2_69_0,0.32625,0.33455,0.2091,0.2491,0.2908,0.3078,0.31035,0.3188,0.3101,0.032118462,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87955416656065,33.062538947783196]}"
1_1_2_70_0,0.27275,0.2185,0.10015,0.1361,0.1796,0.2027,0.22855,0.24425,0.2444,0.15283018,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87569141083894,33.072510247436924]}"
1_1_2_71_0,0.2837,0.2297,0.1024,0.1472,0.1826,0.2139,0.2364,0.2488,0.2473,0.1505001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.87353545415705,33.07745098149958]}"
1_1_2_72_0,0.24335,0.2089,0.08785,0.10265,0.1025,0.16485,0.22485,0.2491,0.2451,0.41024166,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.22208178439543,33.03199622812313]}"
1_1_2_73_0,0.2042,0.1736,0.124,0.1394,0.1428,0.1591,0.1917,0.214,0.1954,0.15552926,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.22944796972521,33.027953809344595]}"
1_1_2_74_0,0.17025,0.14545,0.1148,0.1294,0.1368,0.1426,0.16965,0.18365,0.1951,0.17565528,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.22226144745225,33.04259634847574]}"
1_1_2_75_0,0.1818,0.1697,0.1236,0.1378,0.1488,0.1696,0.17,0.17315,0.1612,0.040000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53011409532002,33.01115531353156]}"
1_1_2_76_0,0.1845,0.1692,0.1268,0.1442,0.1544,0.1663,0.1784,0.1868,0.1881,0.098394126,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.54394815069546,33.02507920043541]}"
1_1_2_77_0,0.2808,0.26985,0.1678,0.1563,0.1616,0.1676,0.19355,0.2077,0.21695,0.14621584,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.53712095453615,33.00486710654272]}"
1_1_2_78_0,0.33435,0.3115,0.1651,0.1875,0.2012,0.2611,0.2597,0.28575,0.2567,0.12120554,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.52131060553565,33.00010603553689]}"
1_1_2_79_0,0.1803,0.1549,0.1128,0.124,0.1202,0.1434,0.1957,0.2065,0.2198,0.29294115,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.00891614175572,33.259629321119014]}"
1_1_2_80_0,0.22345,0.2148,0.1134,0.1236,0.1363,0.1653,0.16715,0.1772,0.1729,0.11837001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.00307709240894,33.250646168277825]}"
1_1_2_81_0,0.2485,0.2357,0.1322,0.1682,0.181,0.1817,0.2198,0.243,0.2589,0.1770857,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.99103966760174,33.257563195965545]}"
1_1_2_82_0,0.2695,0.2543,0.0913,0.1096,0.159,0.1817,0.2019,0.218,0.2061,0.12900577,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.92923557605431,33.059664338874015]}"
1_1_2_83_0,0.1977,0.1793,0.1114,0.1268,0.1454,0.1482,0.1631,0.1607,0.1844,0.1182535,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.92959490216796,33.055352425510236]}"
1_1_2_84_0,0.2031,0.1832,0.1324,0.1544,0.1708,0.1794,0.2036,0.2211,0.2138,0.11180447,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.93031355439525,33.046998093367925]}"
1_1_2_85_0,0.2272,0.2068,0.1206,0.1416,0.1592,0.178,0.1981,0.2072,0.1958,0.103098616,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.92222871683818,33.047716745595224]}"
1_1_2_86_0,0.19865,0.18805,0.1105,0.1226,0.1338,0.1655,0.16925,0.178,0.1682,0.113907285,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.4830378001503,33.32080459196756]}"
1_1_2_87_0,0.1684,0.15395,0.0684,0.07415,0.082,0.11015,0.1303,0.13445,0.1252,0.2084942,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.48097167499682,33.30526373755229]}"
1_1_2_88_0,0.1852,0.1753,0.1062,0.117,0.1189,0.14575,0.16075,0.16415,0.17255,0.18407957,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.4830378001503,33.29565176401221]}"
1_1_2_89_0,0.1867,0.1815,0.07805,0.0883,0.126,0.1422,0.1559,0.1669,0.1538,0.09935666,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.47683942468987,33.30193997100105]}"
1_1_2_90_0,0.22905,0.22325,0.1192,0.1597,0.1623,0.1786,0.2165,0.2306,0.26175,0.23452424,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.47055121770103,33.30014334043281]}"
1_1_2_91_0,0.1967,0.2087,0.08295,0.08995,0.1163,0.1324,0.1417,0.1425,0.14215,0.100019336,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.47827672914447,33.29412462802921]}"
1_1_2_92_0,0.18465,0.1856,0.0983,0.10145,0.1328,0.1401,0.15015,0.16185,0.15985,0.09243125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.48106150652524,33.1332363606434]}"
1_1_2_93_0,0.22755,0.2233,0.1019,0.1125,0.1286,0.155,0.1573,0.16475,0.1619,0.11462994,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.48510392530378,33.12299556640444]}"
1_1_2_94_0,0.2379,0.1924,0.0972,0.1154,0.135,0.1577,0.2217,0.2506,0.2588,0.31437275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.46677829350773,33.12407354474538]}"
1_1_2_95_0,0.1728,0.1589,0.0778,0.089,0.0868,0.1155,0.1281,0.1341,0.1329,0.20983158,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.48842769185501,33.14051271444477]}"
1_1_2_96_0,0.2909,0.2745,0.1688,0.2048,0.2392,0.2553,0.2721,0.2807,0.2768,0.072868235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.47540212023529,33.134943159683225]}"
